Tanggal,Laba Rugi
January 2011,910348
February 2011,1818894
March 2011,2932219
April 2011,4353052
May 2011,5433392
June 2011,6756634
July 2011,7750468
August 2011,8931563
September 2011,10430885
October 2011,11573290
November 2011,12816496
December 2011,14137036
January 2012,1414253
February 2012,2912597
March 2012,4216206
April 2012,5467267
May 2012,6773594
June 2012,8606140
July 2012,10029616
August 2012,11684484
September 2012,13013959
October 2012,14622260
November 2012,16423517
December 2012,18100505
January 2013,1538040
February 2013,3057218
March 2013,5007448
April 2013,6613910
May 2013,8230091
June 2013,10011880
July 2013,11713588
August 2013,13419645
September 2013,15227877
October 2013,17067854
November 2013,18810705
December 2013,21160150
January 2014,1901754
February 2014,3759059
March 2014,5901977
April 2014,7811478
May 2014,9768239
June 2014,11724843
July 2014,13534833
August 2014,15552344
September 2014,18124400
October 2014,20288674
November 2014,22607899
December 2014,24197254
January 2015,2011225
February 2015,3929900
March 2015,5436164
April 2015,6560739
May 2015,7288253
June 2015,11674123
July 2015,13028592
August 2015,14350245
September 2015,17087571
October 2015,19996769
November 2015,22336164
December 2015,24595463
January 2016,2488513
February 2016,4614914
March 2016,7273457
April 2016,9045449
May 2016,10513519
June 2016,14096367
July 2016,30456113
August 2016,32681318
September 2016,35114860
October 2016,36998499
November 2016,38167792
December 2016,40817815
January 2017,2478125
February 2017,4410876
March 2017,7468036
April 2017,8865208
May 2017,10696317
June 2017,13916803
July 2017,15724979
August 2017,18524518
September 2017,21535489
October 2017,23647471
November 2017,23190701
December 2017,30067798
January 2018,2127703
February 2018,6080842
March 2018,6026564
April 2018,6955535
May 2018,8929249
June 2018,10808492
July 2018,13324291
August 2018,16031207
September 2018,18984257
October 2018,21717417
November 2018,25503876
December 2018,28594479
January 2019,2631382
February 2019,5706336
March 2019,9391545
April 2019,11276161
May 2019,13551339
June 2019,18401507
July 2019,25488743
August 2019,27158656
September 2019,29911922
October 2019,33231870
November 2019,36733236
December 2019,38705387
January 2020,3476873
February 2020,6205581
March 2020,5485262
April 2020,6394200
May 2020,7595643
June 2020,10842537
July 2020,13796740
August 2020,16473162
September 2020,16925914
October 2020,18017307
November 2020,20859943
December 2020,21757779
January 2021,1400343
February 2021,2400030
March 2021,4679570
April 2021,7176609
May 2021,7729263
June 2021,9951624
July 2021,11979082
August 2021,15846192
September 2021,16775708
October 2021,21554902
November 2021,25089983
December 2021,27557134
